model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
BERT-Medium,73,83.20,51.74,63.80,56.72,22.22,31.93,46.67,22.22,30.11,36.47,21.09,26.72,64.15,34.00,44.44,50.00,32.84,39.64,59.22,31.65,41.25
BERT-Medium,47,87.20,54.23,66.87,56.41,25.73,35.34,38.46,23.81,29.41,29.33,14.97,19.82,51.72,30.00,37.97,63.33,28.36,39.18,57.21,31.28,40.45
BERT-Medium,32,88.98,52.24,65.83,54.32,25.73,34.92,34.83,24.60,28.84,33.33,22.45,26.83,52.05,38.00,43.93,47.62,29.85,36.70,53.98,33.37,41.25
BERT-Medium,45,86.07,52.24,65.02,57.33,25.15,34.96,46.25,29.37,35.92,40.00,22.45,28.76,47.95,35.00,40.46,68.57,35.82,47.06,59.35,34.11,43.33
BERT-Medium,30,94.06,47.26,62.91,61.90,22.22,32.70,39.66,18.25,25.00,32.35,14.29,19.82,57.45,27.00,36.73,61.54,35.82,45.28,61.17,28.08,38.49
BERT-Medium,43,86.47,57.21,68.86,50.62,23.98,32.54,53.97,26.98,35.98,43.16,27.89,33.88,49.18,30.00,37.27,58.82,29.85,39.60,60.17,34.61,43.94
BERT-Medium,36,87.91,39.80,54.79,55.17,18.71,27.95,28.36,15.08,19.69,34.62,19.05,24.57,57.14,20.00,29.63,64.29,13.43,22.22,54.52,23.15,32.50
BERT-Medium,8,96.70,43.78,60.27,40.96,19.88,26.77,9.09,7.14,8.00,13.33,2.72,4.52,0.00,0.00,0.00,0.00,0.00,0.00,44.55,16.63,24.22
BERT-Medium,41,90.20,45.77,60.73,49.37,22.81,31.20,48.08,19.84,28.09,36.05,21.09,26.61,50.00,20.00,28.57,60.00,22.39,32.61,57.81,27.34,37.12
BERT-Medium,34,85.00,50.75,63.55,50.00,25.73,33.98,38.16,23.02,28.71,28.18,21.09,24.12,21.95,9.00,12.77,59.09,19.40,29.21,49.89,28.08,35.93
BERT-Medium,38,89.83,52.74,66.46,59.04,28.65,38.58,36.59,23.81,28.85,33.68,22.45,26.94,41.07,23.00,29.49,58.82,14.93,23.81,55.43,30.91,39.69
BERT-Medium,4,76.92,9.95,17.62,22.58,4.09,6.93,15.00,2.38,4.11,7.14,0.68,1.24,0.00,0.00,0.00,0.00,0.00,0.00,32.98,3.82,6.84
BERT-Medium,6,95.65,10.95,19.64,48.00,7.02,12.24,10.71,2.38,3.90,10.00,1.36,2.40,25.00,1.00,1.92,0.00,0.00,0.00,40.00,4.93,8.77
BERT-Medium,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Medium,49,80.80,50.25,61.96,54.84,19.88,29.18,31.15,15.08,20.32,22.58,14.29,17.50,32.14,9.00,14.06,75.00,22.39,34.48,51.16,24.51,33.14
BERT-Medium,2,100.00,5.47,10.38,40.00,3.51,6.45,10.00,0.79,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.37,2.22,4.24
BERT-Medium,24,82.57,44.78,58.06,53.09,25.15,34.13,24.66,14.29,18.09,22.11,14.29,17.36,28.57,10.00,14.81,55.56,14.93,23.53,46.72,23.65,31.40
BERT-Medium,51,85.48,52.74,65.23,60.56,25.15,35.54,54.35,19.84,29.07,30.56,23.13,26.33,28.57,6.00,9.92,66.67,29.85,41.24,58.25,28.82,38.56
BERT-Medium,26,89.72,47.76,62.34,50.00,25.15,33.46,22.34,16.67,19.09,20.75,14.29,16.92,26.09,12.00,16.44,42.86,8.96,14.81,44.15,24.51,31.52
BERT-Medium,53,85.37,52.24,64.81,51.19,25.15,33.73,55.56,23.81,33.33,27.35,22.45,24.66,45.45,15.00,22.56,61.11,32.84,42.72,55.26,30.54,39.34
BERT-Medium,20,92.22,41.29,57.04,57.35,22.81,32.64,33.33,15.87,21.51,25.00,13.61,17.62,36.00,18.00,24.00,21.43,4.48,7.41,50.55,22.54,31.18
BERT-Medium,55,88.70,50.75,64.56,62.32,25.15,35.83,50.94,21.43,30.17,39.74,21.77,28.13,65.62,42.00,51.22,69.70,34.33,46.00,65.05,33.13,43.90
BERT-Medium,22,90.29,46.27,61.18,56.47,28.07,37.50,32.84,17.46,22.80,22.47,13.61,16.95,26.09,6.00,9.76,66.67,5.97,10.96,51.74,23.77,32.57
BERT-Medium,57,87.50,52.24,65.42,60.53,26.90,37.25,55.17,25.40,34.78,43.37,24.49,31.30,52.63,30.00,38.22,58.33,31.34,40.78,62.79,33.25,43.48
BERT-Medium,59,84.80,52.74,65.03,56.25,26.32,35.86,42.25,23.81,30.46,41.30,25.85,31.80,52.17,36.00,42.60,62.50,29.85,40.40,58.64,33.87,42.94
BERT-Medium,28,88.18,48.26,62.38,48.81,23.39,31.63,30.12,19.84,23.92,44.44,10.20,16.60,58.49,31.00,40.52,52.38,16.42,25.00,57.11,26.97,36.64
BERT-Tiny,6,100.00,2.49,4.85,0.00,0.00,0.00,100.00,0.79,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.74,1.46
BERT-Tiny,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Tiny,29,82.19,29.85,43.80,25.00,8.19,12.33,15.00,4.76,7.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88,9.85,15.95
BERT-Tiny,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Tiny,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Tiny,58,82.11,38.81,52.70,26.19,12.87,17.25,13.04,7.14,9.23,5.41,1.36,2.17,12.50,1.00,1.85,0.00,0.00,0.00,38.10,13.79,20.25
BERT-Tiny,21,76.09,34.83,47.78,24.64,9.94,14.17,10.64,3.97,5.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.35,11.33,17.69
BERT-Tiny,54,76.34,35.32,48.30,31.17,14.04,19.35,11.11,5.56,7.41,8.11,2.04,3.26,16.67,1.00,1.89,0.00,0.00,0.00,38.27,13.05,19.47
BERT-Tiny,23,85.45,23.38,36.72,21.28,5.85,9.17,12.12,3.17,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,7.51,12.72
BERT-Tiny,56,81.11,36.32,50.17,26.58,12.28,16.80,12.86,7.14,9.18,5.00,1.36,2.14,14.29,1.00,1.87,0.00,0.00,0.00,36.68,13.05,19.26
